TIME	TOTAL	SOC	CPU	GPU	DDR
.0085802020	5261	838	1600	991	1305
.4799677450	5071	838	1829	457	1228
.9507932120	5071	838	1981	305	1209
1.4227340630	5528	838	2361	228	1209
1.8942014780	5299	838	2134	152	1190
2.3663216250	4842	838	2058	152	1190
2.8375520490	4689	838	2058	152	1190
3.3088618010	4651	838	2058	152	1190
3.7808372760	4613	838	2058	152	1190
4.2517061030	4613	838	1981	152	1190
4.7232363650	4575	838	1981	152	1190
5.1949313940	4575	838	1981	152	1190
5.6665966320	4613	838	1981	152	1190
6.1382111500	4575	838	1981	152	1190
6.6099486110	4575	838	1981	152	1190
7.0816270320	4804	838	1981	305	1267
7.5540626970	6174	838	914	2667	1305
