TIME	TOTAL	SOC	CPU	GPU	DDR
.0217119460	4348	686	1600	534	1115
.4989886410	4651	686	1829	305	1307
.9768324370	4689	686	1981	228	1248
1.4562990050	4005	610	1830	152	942
1.9360453480	3738	610	1753	152	846
2.4145276690	3623	610	1677	152	807
2.8937088640	3585	610	1677	152	788
3.3725622540	3661	610	1753	152	788
3.8517382020	3623	610	1753	152	788
4.3309375740	3547	610	1677	152	788
4.8099156680	3623	610	1753	152	788
5.2889423060	3661	610	1753	152	788
5.7678263210	3661	610	1753	152	788
6.2454058660	3699	610	1753	152	788
6.7240182680	3661	610	1753	152	788
7.2047186870	3623	610	1677	152	788
7.6821827130	3661	610	1753	152	788
8.1612066330	3661	610	1753	152	788
8.6400764740	3661	610	1753	152	788
9.1197893500	3547	610	1677	152	788
9.6013603570	3547	610	1677	152	788
10.0803315420	3623	610	1753	152	788
10.5616078630	3623	610	1753	152	788
11.0403724900	3661	610	1753	152	788
11.5192947170	3661	610	1753	152	788
11.9984809100	3623	610	1753	152	788
12.4785037690	3547	610	1677	152	788
12.9573291010	3547	610	1677	152	788
13.4361661130	3623	610	1677	152	788
13.9156806880	3547	610	1677	152	788
14.3949458260	3547	610	1677	152	788
14.8739084060	3623	610	1753	152	788
15.3528946020	3661	610	1753	152	788
15.8318881580	3623	610	1753	152	788
16.3110710260	3547	610	1677	152	788
16.7904421800	3509	610	1601	152	788
17.2704546100	3547	610	1601	152	788
17.7491371620	3547	610	1601	152	788
18.2278189460	3585	610	1677	152	788
18.7071640210	3509	610	1601	152	788
19.1863791780	3547	610	1601	152	788
19.6659463330	3547	610	1677	152	788
20.1444565990	3623	610	1753	152	788
20.6241005210	3623	610	1753	152	788
21.1031150090	3585	610	1677	152	807
21.5823054310	3509	610	1601	152	788
22.0617607800	3547	610	1677	152	788
22.5406381490	3661	610	1753	152	788
23.0186649640	3394	610	1448	152	788
23.5004409050	3471	610	1601	152	788
23.9791697960	3585	610	1677	152	788
24.4580466540	3623	610	1753	152	788
24.9372215900	3661	610	1753	152	788
25.4163205280	3661	610	1753	152	788
25.8951435310	3661	610	1753	152	788
26.3767860030	3585	610	1677	152	788
26.8555875990	3585	610	1677	152	788
27.3352036210	3547	610	1677	152	788
27.8139727060	3623	610	1753	152	788
28.2936480890	3661	610	1753	152	788
28.7719259130	3661	610	1753	152	788
29.2516812960	3585	610	1677	152	788
29.7304619020	3623	610	1677	152	788
30.2102512690	3547	610	1677	152	788
30.6890877150	3623	610	1753	152	807
31.1684054700	3661	610	1753	152	788
31.6458919090	3661	610	1753	152	788
