TIME	TOTAL	SOC	CPU	GPU	DDR
.0075861720	4994	838	2286	152	1269
.4804142350	4424	838	1219	152	1307
.9525861080	4272	915	915	152	1324
1.4250459480	4195	915	762	152	1324
1.8970071980	4157	915	762	152	1344
2.3684455710	4956	914	1753	228	1401
2.8400882620	4918	838	2210	228	1248
3.3115366830	4918	838	2286	152	1209
3.7832577420	4918	838	2362	152	1190
4.2547958260	4918	838	2362	152	1192
4.7263516690	4918	838	2362	152	1192
5.1979058810	4918	838	2362	152	1192
5.6694425240	4918	838	2362	152	1192
6.1409675200	4918	838	2362	152	1192
6.6125590750	4918	838	2362	152	1192
7.0844935730	4918	838	2362	152	1192
7.5555237220	4918	838	2362	152	1192
8.0270841090	4918	762	2362	152	1192
8.4988163990	4918	838	2362	152	1192
8.9703519860	4918	838	2362	152	1192
9.4418356370	4956	838	2362	152	1192
9.9134793200	4918	838	2362	152	1192
10.3854113530	4918	838	2362	152	1192
10.8567529240	4956	838	2362	152	1192
11.3282345910	4918	762	2362	152	1192
11.7995840980	4956	838	2362	152	1192
12.2716432980	4918	838	2362	152	1192
12.7427342150	4918	838	2362	152	1192
13.2148356540	4918	838	2362	152	1192
13.6858381870	4918	762	2362	152	1192
14.1574212610	4956	838	2362	152	1192
14.6295064760	4956	838	2362	152	1192
15.1004636010	4918	838	2362	152	1192
15.5719629950	4918	838	2362	152	1192
16.0438787070	4918	838	2362	152	1192
16.5148874150	4918	838	2362	152	1192
16.9869422620	4918	838	2362	152	1192
17.4579688260	4956	838	2362	152	1192
17.9294696280	4956	838	2362	152	1192
18.4014759950	4918	838	2362	152	1192
18.8729140440	4918	838	2362	152	1192
19.3444528300	4918	838	2362	152	1192
19.8159855350	4918	838	2362	152	1192
20.2868483870	4918	838	2362	152	1192
20.7584711070	4918	838	2362	152	1192
21.2301669470	4918	838	2362	152	1192
21.7016316850	4918	838	2362	152	1192
22.1730580860	4918	838	2362	152	1192
22.6446943100	4918	838	2362	152	1192
23.1163043900	4918	838	2362	152	1192
23.5878656060	4918	838	2362	152	1192
24.0599249640	4918	838	2362	152	1192
24.5311344380	4918	838	2362	152	1192
25.0024483270	4918	838	2362	152	1192
25.4742985980	4918	838	2362	152	1192
25.9452305050	4918	838	2362	152	1192
26.4173962620	4918	838	2362	152	1192
26.8882618010	4918	838	2362	152	1192
27.3597951130	4918	838	2362	152	1192
27.8313569360	4918	838	2362	152	1192
28.3029980230	4918	838	2362	152	1192
28.7746615420	4918	838	2362	152	1192
29.2461992380	4918	838	2362	152	1192
29.7179337000	4918	838	2362	152	1192
30.1898464660	4918	838	2362	152	1192
30.6607444520	4918	838	2362	152	1192
31.1323489630	4956	838	2362	152	1192
31.6039565140	4956	838	2362	152	1192
32.0753223690	4918	838	2362	152	1192
32.5469311360	4918	838	2362	152	1192
33.0184315830	4918	838	2362	152	1192
33.4900459170	4918	838	2362	152	1192
33.9617319950	4956	838	2362	152	1192
34.4332696580	4918	838	2362	152	1192
34.9050319270	4956	838	2362	152	1192
35.3763400550	4918	838	2362	152	1192
35.8478110300	4918	838	2362	152	1192
36.3192991880	4918	762	2362	152	1192
36.7910258410	4918	838	2362	152	1192
37.2630569410	4918	838	2362	152	1192
37.7346331950	4918	838	2362	152	1192
38.2055037240	4918	838	2362	152	1192
38.6771491620	4918	838	2362	152	1192
39.1490769660	4918	838	2362	152	1192
39.6205804190	4918	838	2362	152	1192
40.0916744350	4918	838	2362	152	1192
40.5637713580	4918	838	2362	152	1192
41.0349383010	4918	838	2362	152	1192
41.5064106190	4918	838	2362	152	1192
41.9783854300	4918	838	2362	152	1192
42.4493909020	4918	838	2362	152	1192
42.9208803720	4918	838	2362	152	1192
43.3929811980	4918	838	2362	152	1192
43.8638517900	4918	838	2362	152	1192
44.3358332250	4918	838	2362	152	1192
44.8068163290	4918	838	2362	152	1192
45.2784949810	4918	838	2362	152	1192
45.7498468180	4918	838	2362	152	1192
46.2213904630	4918	838	2362	152	1192
46.6934330170	4918	838	2362	152	1192
47.1649369180	4918	838	2362	152	1192
47.6359003410	4918	838	2362	152	1192
48.1079006550	4956	838	2362	152	1192
48.5789665740	4918	762	2362	152	1192
49.0503475300	4918	838	2362	152	1192
49.5218870470	4918	838	2362	152	1192
49.9934976980	4918	838	2362	152	1192
50.4652916130	4918	838	2362	152	1192
50.9368288890	4918	838	2362	152	1192
51.4083334290	4918	838	2362	152	1192
51.8798781610	4918	838	2362	152	1192
52.3513020290	4918	838	2362	152	1192
52.8228675280	4918	838	2362	152	1192
53.2948415700	4918	838	2362	152	1192
53.7659178550	4918	838	2362	152	1190
54.2375926340	4918	838	2362	152	1192
54.7097325620	4918	838	2362	152	1192
55.1812532300	4918	838	2362	152	1190
55.6521777720	4918	838	2362	152	1192
56.1239798450	4956	838	2362	152	1192
56.5952052500	4918	838	2362	152	1192
57.0668227800	4918	838	2362	152	1192
57.5384079590	4918	838	2362	152	1192
58.0099432180	4880	838	2362	152	1192
58.4821166490	4880	838	2362	152	1192
