TIME	TOTAL	SOC	CPU	GPU	DDR
.0190376110	3471	610	1525	152	826
.5115143930	3432	610	915	152	942
.9834674670	3852	610	1753	152	865
1.4617790410	3928	610	1982	152	807
1.9406589620	3890	610	1982	152	788
2.4187815460	3928	610	2058	152	788
2.8974982370	3852	610	1982	152	788
3.3759215230	3966	610	2135	152	788
3.8546600700	3966	610	2058	152	788
4.3326100170	3890	610	2058	152	788
4.8109890480	3928	610	2058	152	788
5.2882633860	4005	610	2135	152	788
5.7663049170	4005	610	2135	152	788
6.2445903180	3890	610	2058	152	788
6.7228403910	3966	610	2058	152	788
7.2021135590	3852	610	1982	152	788
7.6803138740	3966	610	2135	152	788
8.1587727140	3966	610	2135	152	788
8.6365828890	3966	610	2058	152	788
9.1151782730	4005	610	2058	152	788
9.5935022360	4005	610	2135	152	788
10.0718802780	4005	610	2135	152	788
10.5515452210	4005	610	2135	152	788
11.0285212240	4233	610	2134	152	788
11.5069947640	4081	610	2135	152	788
11.9856455310	3890	610	1982	152	788
12.4645532510	3852	610	1982	152	788
12.9427534750	3928	610	2058	152	788
13.4215112640	3852	610	1906	152	788
13.9000939440	3852	610	1982	152	788
14.3782815430	3966	610	2058	152	788
14.8565141600	3966	610	2135	152	788
15.3346133960	3966	610	2135	152	788
15.8148267470	4157	610	2135	152	788
16.2924793470	4005	610	2058	152	788
16.7708053820	4005	610	2058	152	788
17.2492962470	3966	610	2058	152	788
17.7278744310	3852	610	1982	152	788
18.2066942480	3928	610	2058	152	788
18.6845900490	3852	610	1982	152	788
19.1632843820	3966	610	2058	152	788
19.6415541250	3966	610	2058	152	788
20.1202715190	3928	610	2058	152	788
20.5985822110	3966	610	2058	152	788
21.0771003920	4005	610	2135	152	788
21.5556441630	4005	610	2135	152	788
22.0339493390	4005	610	2135	152	788
22.5122272750	4005	610	2135	152	788
22.9906975280	4005	610	2135	152	788
23.4689527960	4005	610	2135	152	788
23.9473708460	4005	610	2135	152	788
24.4258804730	3966	610	2135	152	788
24.9042652620	3890	610	2058	152	788
25.3826047020	3966	610	2058	152	788
25.8593917760	3852	610	1982	152	788
26.3401859700	3814	610	1982	152	788
26.8162003880	3966	610	2135	152	788
27.2947481920	3966	610	2135	152	788
27.7734291400	3966	610	2058	152	788
28.2509847370	3966	610	2058	152	788
28.7307171670	3852	610	1982	152	788
29.2092728220	3852	610	1982	152	788
29.6877161770	3966	610	2135	152	788
30.1662372300	3966	610	2135	152	788
30.6471172260	4005	610	2135	152	788
31.1255726030	3928	610	1906	228	826
31.6141147710	7352	685	990	3581	1286
32.0842065430	5032	609	1600	1372	980
32.5621950800	4346	610	1981	533	846
33.0391076100	4081	610	2058	305	807
33.5189726900	3928	610	1982	228	788
33.9975259210	3852	610	1982	152	788
34.4764807780	3852	610	1982	152	788
34.9546265080	3966	610	2058	152	788
35.4332869850	3814	610	1982	152	788
35.9118984970	3966	610	2135	152	788
36.3905520840	4005	610	2135	152	788
36.8696304350	3890	610	1982	152	788
37.3474913040	3890	610	1982	152	788
37.8255820550	3966	610	2058	152	788
38.3045017030	3890	610	1982	152	788
38.7832127340	3852	610	1982	152	788
39.2619063860	3852	610	1982	152	788
39.7404344610	3852	610	1982	152	788
40.2183020190	3928	610	2058	152	788
40.6969867230	4005	610	2135	152	788
41.1754667540	4005	610	2135	152	788
41.6537218130	3966	610	2135	152	788
42.1326011300	3928	610	2058	152	788
42.6108848830	3966	610	2135	152	788
43.0893414670	4005	610	2135	152	788
43.5677337540	4005	610	2135	152	788
44.0466082810	3966	610	2135	152	788
44.5236008390	3890	610	1982	152	788
45.0034004160	3852	610	1982	152	788
45.4815014490	3928	610	2058	152	788
45.9589577710	3852	610	1982	152	788
46.4390973960	3814	610	1982	152	788
