case_num,exp,ts,device,kern_min_start,kern_max_start,num_kerns,kern_sum,freq,memfreq,temp,pwr
case01,sgemm,25536,Tesla V100-SXM2-16GB (0),5.002345,234.420305,100,231.70858700000002,1425.0,877.0,70.0,295.702
case01,sgemm,25536,Tesla V100-SXM2-16GB (0),5.154443,233.84669,100,230.97509000000005,1425.0,877.0,73.0,295.898
case01,sgemm,25536,Tesla V100-SXM2-16GB (0),5.011868,235.180671,100,232.477472,1417.0,877.0,74.0,294.935
case01,sgemm,25536,Tesla V100-SXM2-16GB (0),4.984171,233.964083,100,231.27450300000004,1425.0,877.0,74.0,296.862
case02,sgemm,25536,Tesla V100-SXM2-16GB (0),5.477605,234.951185,100,231.77431700000002,1417.0,877.0,72.0,295.702
case02,sgemm,25536,Tesla V100-SXM2-16GB (0),5.279924,235.337847,100,232.36509999999996,1417.0,877.0,74.0,294.739
case02,sgemm,25536,Tesla V100-SXM2-16GB (1),5.422973,230.589309,100,227.412769,1447.0,877.0,63.0,296.184
case02,sgemm,25536,Tesla V100-SXM2-16GB (1),5.47784,230.782242,100,227.56212900000003,1447.0,877.0,64.0,295.22
case02,sgemm,25536,Tesla V100-SXM2-16GB (0),5.448287,235.876003,100,232.734973,1417.0,877.0,75.0,295.22
case02,sgemm,25536,Tesla V100-SXM2-16GB (0),5.676527,234.789839,100,231.40605100000002,1425.0,877.0,75.0,297.628
case02,sgemm,25536,Tesla V100-SXM2-16GB (1),5.445903,230.77221,100,227.58226099999996,1447.0,877.0,64.0,295.22
case02,sgemm,25536,Tesla V100-SXM2-16GB (1),5.443733,230.406823,100,227.21549499999998,1447.0,877.0,64.0,295.702
case03,sgemm,25536,Tesla V100-SXM2-16GB (2),6.199418,230.257582,100,226.29813099999998,1462.0,877.0,62.0,295.765
case03,sgemm,25536,Tesla V100-SXM2-16GB (2),6.002288,230.298235,100,226.53819499999997,1462.0,877.0,61.0,295.285
case03,sgemm,25536,Tesla V100-SXM2-16GB (2),6.09275,230.236315,100,226.37538300000003,1462.0,877.0,62.0,295.765
case03,sgemm,25536,Tesla V100-SXM2-16GB (0),5.674347,235.52198,100,232.14147499999999,1417.0,877.0,73.0,295.112
case03,sgemm,25536,Tesla V100-SXM2-16GB (0),6.006931,236.273661,100,232.577404,1417.0,877.0,75.0,295.112
case03,sgemm,25536,Tesla V100-SXM2-16GB (1),6.192111,231.566811,100,227.628493,1447.0,877.0,63.0,295.593
case03,sgemm,25536,Tesla V100-SXM2-16GB (1),6.234338,231.573484,100,227.595607,1447.0,877.0,64.0,295.112
case03,sgemm,25536,Tesla V100-SXM2-16GB (0),6.285198,236.750142,100,232.77107000000004,1417.0,877.0,75.0,295.593
case03,sgemm,25536,Tesla V100-SXM2-16GB (0),5.912518,236.390844,100,232.788936,1417.0,877.0,75.0,295.593
case03,sgemm,25536,Tesla V100-SXM2-16GB (2),5.899629,230.013586,100,226.359006,1462.0,877.0,62.0,295.285
case03,sgemm,25536,Tesla V100-SXM2-16GB (1),6.086012,231.453018,100,227.627831,1447.0,877.0,64.0,295.112
case03,sgemm,25536,Tesla V100-SXM2-16GB (1),6.004717,231.282496,100,227.53594400000003,1447.0,877.0,64.0,295.112
case04,sgemm,25536,Tesla V100-SXM2-16GB (3),6.628638,236.009199,100,231.678686,1425.0,877.0,69.0,295.567
case04,sgemm,25536,Tesla V100-SXM2-16GB (3),6.722594,236.169288,100,231.73707899999997,1425.0,877.0,70.0,296.525
case04,sgemm,25536,Tesla V100-SXM2-16GB (2),6.646564,230.736916,100,226.337618,1462.0,877.0,63.0,296.129
case04,sgemm,25536,Tesla V100-SXM2-16GB (2),6.478962,230.904515,100,226.669818,1462.0,877.0,62.0,295.172
case04,sgemm,25536,Tesla V100-SXM2-16GB (2),6.710925,230.857125,100,226.392013,1462.0,877.0,62.0,295.651
case04,sgemm,25536,Tesla V100-SXM2-16GB (0),6.607959,236.287395,100,231.97798,1417.0,877.0,73.0,295.2
case04,sgemm,25536,Tesla V100-SXM2-16GB (3),7.971939,237.503551,100,231.818365,1425.0,877.0,71.0,297.004
case04,sgemm,25536,Tesla V100-SXM2-16GB (3),6.609785,236.019789,100,231.71264899999997,1425.0,877.0,71.0,297.004
case04,sgemm,25536,Tesla V100-SXM2-16GB (0),6.924939,236.99086,100,232.36981899999995,1417.0,877.0,75.0,295.482
case04,sgemm,25536,Tesla V100-SXM2-16GB (1),6.629343,231.88506,100,227.506421,1447.0,877.0,63.0,295.962
case04,sgemm,25536,Tesla V100-SXM2-16GB (1),6.775195,231.96468,100,227.44609299999996,1447.0,877.0,64.0,295.482
case04,sgemm,25536,Tesla V100-SXM2-16GB (0),6.580897,236.9362,100,232.66237299999997,1417.0,877.0,74.0,295.482
case04,sgemm,25536,Tesla V100-SXM2-16GB (0),7.057759,237.350186,100,232.60040999999998,1417.0,877.0,74.0,295.003
case04,sgemm,25536,Tesla V100-SXM2-16GB (2),6.778548,230.85685,100,226.32452800000004,1462.0,877.0,62.0,295.651
case04,sgemm,25536,Tesla V100-SXM2-16GB (1),6.595579,231.877619,100,227.53741000000002,1447.0,877.0,64.0,295.482
case04,sgemm,25536,Tesla V100-SXM2-16GB (1),6.588071,231.786174,100,227.45667899999998,1447.0,877.0,64.0,295.482
case05,resnet,3,Tesla V100-SXM2-16GB (0),3.992302,604.225921,47082,119978.100425,1485.0,877.0,73.0,273.611
case06,resnet,3,Tesla V100-SXM2-16GB (0),4.128135,606.642528,45338,115933.127353,1485.0,877.0,71.0,275.292
case07,resnet,3,Tesla V100-SXM2-16GB (2),4.257635,607.764003,44710,113467.636451,1522.0,877.0,58.0,269.4
case07,resnet,3,Tesla V100-SXM2-16GB (1),4.350454,608.8828,44736,113768.37451200001,1522.0,877.0,60.0,268.8
case07,resnet,3,Tesla V100-SXM2-16GB (0),4.285832,610.147972,46120,117549.299232,1500.0,877.0,69.0,274.03
case08,resnet,3,Tesla V100-SXM2-16GB (3),4.663698,621.428972,45962,117545.168809,1500.0,877.0,66.0,273.235
case08,resnet,3,Tesla V100-SXM2-16GB (2),4.683229,616.835569,44716,113718.77910200001,1522.0,877.0,59.0,268.23199999999997
case08,resnet,3,Tesla V100-SXM2-16GB (1),4.719631,618.692516,44663,113714.812494,1522.0,877.0,60.0,268.979
case08,resnet,3,Tesla V100-SXM2-16GB (0),4.738984,620.250269,46008,117582.35581000001,1492.0,877.0,70.0,274.08
case10,sgemm,25536,Tesla V100-SXM2-16GB (2),6.750718,230.526266,100,225.98948299999998,1462.0,877.0,62.0,295.651
case10,sgemm,25536,Tesla V100-SXM2-16GB (2),6.297935,230.361834,100,226.29528200000001,1462.0,877.0,62.0,294.891
case10,resnet,3,Tesla V100-SXM2-16GB (3),4.483153,605.84883,46571,118790.236689,1492.0,877.0,66.0,273.235
case10,sgemm,25536,Tesla V100-SXM2-16GB (0),6.324068,235.679626,100,231.648244,1417.0,877.0,73.0,295.2
case10,sgemm,25536,Tesla V100-SXM2-16GB (0),6.599395,236.365363,100,232.06816100000003,1417.0,877.0,74.0,295.2
case10,sgemm,25536,Tesla V100-SXM2-16GB (1),6.060309,231.089922,100,227.27423,1447.0,877.0,63.0,295.68
case10,sgemm,25536,Tesla V100-SXM2-16GB (1),6.914196,231.8343,100,227.16425400000003,1447.0,877.0,64.0,295.482
case11,sgemm,25536,Tesla V100-SXM2-16GB (3),5.612591,235.166133,100,231.843807,1417.0,877.0,70.0,295.848
case11,sgemm,25536,Tesla V100-SXM2-16GB (2),6.494224,230.078614,100,225.806137,1462.0,877.0,62.0,294.975
case11,sgemm,25536,Tesla V100-SXM2-16GB (2),6.182514,230.670462,100,226.71685399999998,1455.0,877.0,63.0,295.6335
case11,sgemm,25536,Tesla V100-SXM2-16GB (3),6.731971,235.620978,100,231.18104100000002,1425.0,877.0,69.0,295.765
case11,sgemm,25536,Tesla V100-SXM2-16GB (1),6.216348,231.769416,100,227.794029,1447.0,877.0,64.0,295.765
case11,sgemm,25536,Tesla V100-SXM2-16GB (1),6.752861,230.913107,100,226.389672,1455.0,877.0,63.0,295.962
case11,resnet,3,Tesla V100-SXM2-16GB (0),4.216048,606.181001,46681,118949.38327,1485.0,877.0,70.0,274.08
case12,sgemm,25536,Tesla V100-SXM2-16GB (2),6.690909,230.297188,100,225.834556,1462.0,877.0,62.0,294.891
case12,sgemm,25536,Tesla V100-SXM2-16GB (2),5.445737,229.566138,100,226.34656700000002,1462.0,877.0,62.0,295.172
case12,resnet,3,Tesla V100-SXM2-16GB (3),4.30497,609.702468,44965,115135.82588199999,1485.0,877.0,66.0,274.376
case12,sgemm,25536,Tesla V100-SXM2-16GB (0),5.677224,234.748225,100,231.35926299999997,1417.0,877.0,73.0,295.8625
case12,sgemm,25536,Tesla V100-SXM2-16GB (0),6.659283,235.331624,100,230.959527,1425.0,877.0,73.0,295.482
case12,resnet,3,Tesla V100-SXM2-16GB (1),4.3403,604.490235,43328,110270.673312,1522.0,877.0,60.0,271.58799999999997
case13,resnet,3,Tesla V100-SXM2-16GB (3),4.278272,609.474907,45930,117179.811954,1500.0,877.0,65.0,272.937
case13,sgemm,25536,Tesla V100-SXM2-16GB (0),5.338927,234.792403,100,231.74720499999998,1417.0,877.0,74.0,295.003
case13,resnet,3,Tesla V100-SXM2-16GB (2),4.509419,606.824015,43302,110182.48396799999,1522.0,877.0,58.0,269.519
case13,sgemm,25536,Tesla V100-SXM2-16GB (0),7.04268,235.699819,100,230.93009600000002,1425.0,877.0,73.0,296.16
case13,sgemm,25536,Tesla V100-SXM2-16GB (1),6.641725,231.795046,100,227.38850000000002,1447.0,877.0,64.0,295.765
case13,sgemm,25536,Tesla V100-SXM2-16GB (1),5.869921,229.997804,100,226.36461300000002,1455.0,877.0,64.0,295.962
case14,resnet,3,Tesla V100-SXM2-16GB (3),4.828876,612.657327,45926,117195.71129199999,1500.0,877.0,66.0,274.376
case14,sgemm,25536,Tesla V100-SXM2-16GB (0),5.360412,234.471465,100,231.39041200000003,1417.0,877.0,73.0,295.765
case14,resnet,3,Tesla V100-SXM2-16GB (2),4.474792,607.335333,44708,113393.90168799998,1522.0,877.0,58.0,268.083
case14,sgemm,25536,Tesla V100-SXM2-16GB (0),6.543989,235.219166,100,230.95777199999998,1425.0,877.0,73.0,295.877
case14,resnet,3,Tesla V100-SXM2-16GB (1),4.583272,608.614551,44656,113354.752234,1522.0,877.0,60.0,271.2
case15,resnet,3,Tesla V100-SXM2-16GB (3),4.487196,613.610278,46220,118016.514072,1492.0,877.0,65.0,273.417
case15,resnet,3,Tesla V100-SXM2-16GB (2),4.551399,608.388085,44733,113513.219155,1522.0,877.0,58.0,270.657
case15,sgemm,25536,Tesla V100-SXM2-16GB (1),4.928913,230.761941,100,228.072049,1447.0,877.0,65.0,295.482
case15,sgemm,25536,Tesla V100-SXM2-16GB (1),6.634166,230.831512,100,226.43750299999996,1455.0,877.0,64.0,295.962
case15,resnet,3,Tesla V100-SXM2-16GB (0),4.491087,610.846282,46035,117373.82779800001,1492.0,877.0,70.0,276.0
case16,sgemm,25536,Tesla V100-SXM2-16GB (2),6.224445,230.225114,100,226.226243,1462.0,877.0,63.0,295.931
case16,sgemm,25536,Tesla V100-SXM2-16GB (2),5.605722,230.308593,100,226.93982100000002,1447.0,877.0,64.0,296.327
case16,resnet,3,Tesla V100-SXM2-16GB (3),4.526218,612.020145,46329,118258.99166800002,1492.0,877.0,68.0,273.417
case16,resnet,3,Tesla V100-SXM2-16GB (1),4.665696,608.392813,44689,113572.646699,1522.0,877.0,61.0,271.561
case16,resnet,3,Tesla V100-SXM2-16GB (0),4.67281,613.729059,45103,115277.792932,1492.0,877.0,71.0,273.12
case17,sgemm,25536,Tesla V100-SXM2-16GB (3),5.100679,234.554191,100,231.73686800000002,1417.0,877.0,70.0,296.046
case17,resnet,3,Tesla V100-SXM2-16GB (2),4.50229,606.10955,43218,109958.402007,1522.0,877.0,58.0,267.304
case17,sgemm,25536,Tesla V100-SXM2-16GB (3),6.616052,235.637793,100,231.297414,1425.0,877.0,69.0,295.765
case17,resnet,3,Tesla V100-SXM2-16GB (1),4.588775,608.432717,44786,113931.77160499999,1522.0,877.0,61.0,269.337
