case,GPU_NO,Runtime
case24,1,2240.59
case24,1,2244.59
case24,1,2245.99
case24,1,2246.21
case24,1,2247.36
case24,1,2246.91
case24,1,2255.36
case24,1,2262.15
case24,1,2264.18
case24,1,2262.51
case24,1,2265.5
case24,1,2266.23
case24,1,2267.25
case24,1,2265.8
case24,1,2267.34
case24,1,2266.99
case24,1,2267.12
case24,1,2268.67
case24,1,2267.84
case24,1,2268.88
case24,1,2268.4
case24,1,2268.4
case24,1,2267.24
case24,1,2268.7
case24,1,2268.88
case24,1,2268.42
case24,1,2269.08
case24,1,2270.08
case24,1,2268.5
case24,1,2268.84
case24,1,2267.88
case24,1,2270.11
case24,1,2269.69
case24,1,2268.34
case24,1,2282.49
case24,1,2280.14
case24,1,2280.95
case24,1,2280.01
case24,1,2280.49
case24,1,2281.36
case24,1,2279.97
case24,1,2282.81
case24,1,2279.41
case24,1,2280.28
case24,1,2280.83
case24,1,2279.94
case24,1,2280.62
case24,1,2280.9
case24,1,2280.91
case24,1,2280.41
case24,1,2279.62
case24,1,2280.51
case24,1,2279.4
case24,1,2280.21
case24,1,2280.89
case24,1,2280.18
case24,1,2280.42
case24,1,2280.09
case24,1,2280.56
case24,1,2279.96
case24,1,2280.2
case24,1,2281.37
case24,1,2279.6
case24,1,2280.63
case24,1,2280.9
case24,1,2280.29
case24,1,2279.81
case24,1,2280.1
case24,1,2280.16
case24,1,2281
case24,1,2280.55
case24,1,2280.84
case24,1,2279.95
case24,1,2280.75
case24,1,2281.22
case24,1,2280.01
case24,1,2280.44
case24,1,2280.02
case24,1,2280.99
case24,1,2283.34
case24,1,2281.64
case24,1,2281
case24,1,2280.3
case24,1,2280.52
case24,1,2281.34
case24,1,2279.97
case24,1,2281.03
case24,1,2280.48
case24,1,2280.74
case24,1,2279.78
case24,1,2281.17
case24,1,2279.42
case24,1,2280.49
case24,1,2280.95
case24,1,2280.31
case24,1,2279.89
case24,1,2279.64
case24,1,2278.79
case24,1,2282.04
case24,1,2279.41
case24,1,2219.35
case24,1,2225.08
case24,1,2237.4
case24,1,2239.04
case24,1,2244.43
case24,1,2251.31
case24,1,2257.32
case24,1,2259.69
